urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@ἐγὼ	25	Ὀδυσσεύς	ἐγὼ	pronoun	ἐγώ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@δὲ	25	Ὀδυσσεύς	δὲ	adverb	δέ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@φράζω,	25	Ὀδυσσεύς	φράζω,	verb	φράζω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@κοινὰ	25	Ὀδυσσεύς	κοινὰ	adjective	κοινός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@δʼ	25	Ὀδυσσεύς	δʼ	adverb	δʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@ἐξ	25	Ὀδυσσεύς	ἐξ	adposition	ἐκ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@ἀμφοῖν	25	Ὀδυσσεύς	ἀμφοῖν	numeral	ἀμφοῖν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:25@ἴῃ.	25	Ὀδυσσεύς	ἴῃ.	verb	εἶμι
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:28@ἄνωθεν	28	Ὀδυσσεύς	ἄνωθεν	adverb	ἄνωθεν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:28@ἢ	28	Ὀδυσσεύς	ἢ	coordinating_conjunction	ἤ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:28@κάτωθεν;	28	Ὀδυσσεύς	κάτωθεν;	verb	κατόκειμαι
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:28@οὐ	28	Ὀδυσσεύς	οὐ	adverb	οὐ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:28@γὰρ	28	Ὀδυσσεύς	γὰρ	adverb	γάρ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:28@ἐννοῶ.	28	Ὀδυσσεύς	ἐννοῶ.	verb	νοέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:30@ὅρα	30	Ὀδυσσεύς	ὅρα	verb	ὁράω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:30@καθʼ	30	Ὀδυσσεύς	καθʼ	adverb	καθά
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:30@ὕπνον	30	Ὀδυσσεύς	ὕπνον	noun	ὕπνος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:30@μὴ	30	Ὀδυσσεύς	μὴ	adverb	μή
